"id","app","name","applied"
"1","contenttypes","0001_initial","2020-05-26"
"2","auth","0001_initial","2020-05-26"
"3","admin","0001_initial","2020-05-26"
"4","admin","0002_logentry_remove_auto_add","2020-05-26"
"5","admin","0003_logentry_add_action_flag_choices","2020-05-26"
"6","app","0001_initial","2020-05-26"
"7","contenttypes","0002_remove_content_type_name","2020-05-26"
"8","auth","0002_alter_permission_name_max_length","2020-05-26"
"9","auth","0003_alter_user_email_max_length","2020-05-26"
"10","auth","0004_alter_user_username_opts","2020-05-26"
"11","auth","0005_alter_user_last_login_null","2020-05-26"
"12","auth","0006_require_contenttypes_0002","2020-05-26"
"13","auth","0007_alter_validators_add_error_messages","2020-05-26"
"14","auth","0008_alter_user_username_max_length","2020-05-26"
"15","auth","0009_alter_user_last_name_max_length","2020-05-26"
"16","sessions","0001_initial","2020-05-26"
"17","app","0002_participants","2020-05-27"
"18","app","0003_auto_20200527_0736","2020-05-27"
"19","app","0004_transcript","2020-05-27"
"20","auth","0010_alter_group_name_max_length","2020-05-27"
"21","auth","0011_update_proxy_permissions","2020-05-27"
"22","app","0005_meeting","2020-05-27"
"23","app","0006_auto_20200527_1731","2020-05-27"
